CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status
John O'Hurley,1,1,Rank,20.0,1,1-6,,,,,,,,,Safe
Kelly Monaco,1,1,Rank,13.0,3,1-6,,,,,,,,,Safe
Evander Holyfield,1,1,Rank,18.0,2,1-6,,,,,,,,,Safe
Rachel Hunter,1,1,Rank,20.0,1,1-6,,,,,,,,,Safe
Joey McIntyre,1,1,Rank,20.0,1,1-6,,,,,,,,,Safe
Trista Sutter,1,1,Rank,18.0,2,1-6,,,,,,,,,Safe
John O'Hurley,1,2,Rank,26.0,1,1-6,,,,,,,,,Safe
Kelly Monaco,1,2,Rank,17.0,5,1-5,,,,,,,,,Safe
Evander Holyfield,1,2,Rank,14.0,6,1-4,,,,,,,,,Safe
Rachel Hunter,1,2,Rank,24.0,2,1-6,,,,,,,,,Safe
Joey McIntyre,1,2,Rank,21.0,3,1-6,,,,,,,,,Safe
Trista Sutter,1,2,Rank,19.0,4,3-6,,,,,,,,,Eliminated (Place 6)
John O'Hurley,1,3,Rank,24.0,2,1-5,,,,,,,,,Safe
Kelly Monaco,1,3,Rank,21.0,4,1-5,,,,,,,,,Safe
Evander Holyfield,1,3,Rank,13.0,5,1-5,,,,,,,,,Eliminated (Place 5)
Rachel Hunter,1,3,Rank,26.0,1,1-5,,,,,,,,,Safe
Joey McIntyre,1,3,Rank,22.0,3,1-5,,,,,,,,,Safe
John O'Hurley,1,4,Rank,21.0,3,1-3,,,,,,,,,Safe
Kelly Monaco,1,4,Rank,26.0,1,1-4,,,,,,,,,Safe
Rachel Hunter,1,4,Rank,25.0,2,3-4,,,,,,,,,Eliminated (Place 4)
Joey McIntyre,1,4,Rank,20.0,4,1-2,,,,,,,,,Safe
John O'Hurley,1,5,Rank,27.0,1,1-3,,,,,,,,,Safe
Kelly Monaco,1,5,Rank,23.5,2,1-3,,,,,,,,,Safe
Joey McIntyre,1,5,Rank,22.5,3,1-3,,,,,,,,,Eliminated (Place 3)
John O'Hurley,1,6,Rank,27.0,2,1-2,,,,,,,,,Eliminated (Place 2)
Kelly Monaco,1,6,Rank,27.5,1,1-2,,,,,,,,,Safe
Tatum O'Neal,2,1,Rank,23.0,2,1-10,,,,,,,,,Safe
Tia Carrere,2,1,Rank,20.0,5,1-10,,,,,,,,,Safe
George Hamilton,2,1,Rank,18.0,7,1-10,,,,,,,,,Safe
Lisa Rinna,2,1,Rank,19.0,6,1-10,,,,,,,,,Safe
Stacy Keibler,2,1,Rank,22.0,3,1-10,,,,,,,,,Safe
Jerry Rice,2,1,Rank,21.0,4,1-10,,,,,,,,,Safe
Giselle Fernandez,2,1,Rank,23.0,2,1-10,,,,,,,,,Safe
Master P,2,1,Rank,12.0,9,1-9,,,,,,,,,Safe
Drew Lachey,2,1,Rank,24.0,1,1-10,,,,,,,,,Safe
Kenny Mayne,2,1,Rank,13.0,8,2-10,,,,,,,,,Eliminated (Place 10)
Tatum O'Neal,2,2,Rank,17.0,7,2-9,,,,,,,,,Eliminated (Place 9)
Tia Carrere,2,2,Rank,22.0,5,1-9,,,,,,,,,Safe
George Hamilton,2,2,Rank,22.0,5,1-9,,,,,,,,,Safe
Lisa Rinna,2,2,Rank,20.0,6,1-9,,,,,,,,,Safe
Stacy Keibler,2,2,Rank,29.0,1,1-9,,,,,,,,,Safe
Jerry Rice,2,2,Rank,23.0,4,1-9,,,,,,,,,Safe
Giselle Fernandez,2,2,Rank,24.0,3,1-9,,,,,,,,,Safe
Master P,2,2,Rank,16.0,8,1-8,,,,,,,,,Safe
Drew Lachey,2,2,Rank,27.0,2,1-9,,,,,,,,,Safe
Tia Carrere,2,3,Rank,26.0,2,1-8,,,,,,,,,Safe
George Hamilton,2,3,Rank,22.0,4,1-7,,,,,,,,,Safe
Lisa Rinna,2,3,Rank,25.0,3,1-8,,,,,,,,,Safe
Stacy Keibler,2,3,Rank,27.0,1,1-8,,,,,,,,,Safe
Jerry Rice,2,3,Rank,19.0,5,1-6,,,,,,,,,Safe
Giselle Fernandez,2,3,Rank,22.0,4,4-8,,,,,,,,,Eliminated (Place 8)
Master P,2,3,Rank,14.0,6,1-5,,,,,,,,,Safe
Drew Lachey,2,3,Rank,27.0,1,1-8,,,,,,,,,Safe
Tia Carrere,2,4,Rank,25.0,3,1-7,,,,,,,,,Safe
George Hamilton,2,4,Rank,21.0,5,1-7,,,,,,,,,Safe
Lisa Rinna,2,4,Rank,26.0,2,1-7,,,,,,,,,Safe
Stacy Keibler,2,4,Rank,26.0,2,1-7,,,,,,,,,Safe
Jerry Rice,2,4,Rank,24.0,4,1-7,,,,,,,,,Safe
Master P,2,4,Rank,8.0,6,1-7,,,,,,,,,Eliminated (Place 7)
Drew Lachey,2,4,Rank,28.0,1,1-7,,,,,,,,,Safe
Tia Carrere,2,5,Rank,22.0,6,1-6,,,,,,,,,Eliminated (Place 6)
George Hamilton,2,5,Rank,24.0,4,1-6,,,,,,,,,Safe
Lisa Rinna,2,5,Rank,25.0,3,1-6,,,,,,,,,Safe
Stacy Keibler,2,5,Rank,30.0,1,1-6,,,,,,,,,Safe
Jerry Rice,2,5,Rank,23.0,5,1-6,,,,,,,,,Safe
Drew Lachey,2,5,Rank,27.0,2,1-6,,,,,,,,,Safe
George Hamilton,2,6,Rank,23.0,3,2-5,,,,,,,,,Eliminated (Place 5)
Lisa Rinna,2,6,Rank,27.0,2,1-5,,,,,,,,,Safe
Stacy Keibler,2,6,Rank,30.0,1,1-5,,,,,,,,,Safe
Jerry Rice,2,6,Rank,23.0,3,1-4,,,,,,,,,Safe
Drew Lachey,2,6,Rank,30.0,1,1-5,,,,,,,,,Safe
Lisa Rinna,2,7,Rank,26.5,2,2-4,,,,,,,,,Eliminated (Place 4)
Stacy Keibler,2,7,Rank,27.5,1,1-4,,,,,,,,,Safe
Jerry Rice,2,7,Rank,20.5,3,1-3,,,,,,,,,Safe
Drew Lachey,2,7,Rank,27.5,1,1-4,,,,,,,,,Safe
Stacy Keibler,2,8,Rank,28.6665,2,1-3,,,,,,,,,Eliminated (Place 3)
Jerry Rice,2,8,Rank,26.666600000000003,3,1-3,,,,,,,,,Eliminated (Place 2)
Drew Lachey,2,8,Rank,28.9998,1,1-3,,,,,,,,,Safe
Harry Hamlin,3,1,Percent,17.0,8.0%,0.0%-100.0%,8.191033363342285,8.0,0.035106402263045317,0.0,0.0,1.901388168334961e-05,0.011686095967888832,0.5615146160125732,Safe
Vivica A. Fox,3,1,Percent,22.0,10.4%,0.0%-100.0%,10.15318775177002,4.0,0.035106402263045317,0.0,0.0,1.901388168334961e-05,0.011686095967888832,0.5615146160125732,Safe
Monique Coleman,3,1,Percent,19.0,9.0%,0.0%-100.0%,8.98464584350586,6.0,0.035106402263045317,0.0,0.0,1.901388168334961e-05,0.011686095967888832,0.5615146160125732,Safe
Joey Lawrence,3,1,Percent,21.0,9.9%,0.0%-100.0%,9.762612342834473,5.0,0.035106402263045317,0.0,0.0,1.901388168334961e-05,0.011686095967888832,0.5615146160125732,Safe
Mario Lopez,3,1,Percent,26.0,12.3%,0.0%-100.0%,11.744095802307129,1.0,0.035106402263045317,0.0,0.0,1.901388168334961e-05,0.011686095967888832,0.5615146160125732,Safe
Emmitt Smith,3,1,Percent,24.0,11.3%,0.0%-100.0%,10.958216667175293,2.0,0.035106402263045317,0.0,0.0,1.901388168334961e-05,0.011686095967888832,0.5615146160125732,Safe
Shanna Moakler,3,1,Percent,18.0,8.5%,0.0%-100.0%,8.587570190429688,7.0,0.035106402263045317,0.0,0.0,1.901388168334961e-05,0.011686095967888832,0.5615146160125732,Safe
Willa Ford,3,1,Percent,22.0,10.4%,0.0%-100.0%,10.185694694519043,3.0,0.035106402263045317,0.0,0.0,1.901388168334961e-05,0.011686095967888832,0.5615146160125732,Safe
Sara Evans,3,1,Percent,15.0,7.1%,0.0%-100.0%,7.400141716003418,10.0,0.035106402263045317,0.0,0.0,1.901388168334961e-05,0.011686095967888832,0.5615146160125732,Withdrew
Jerry Springer,3,1,Percent,16.0,7.5%,0.0%-100.0%,7.792893886566162,9.0,0.035106402263045317,0.0,0.0,1.901388168334961e-05,0.011686095967888832,0.5615146160125732,Safe
Tucker Carlson,3,1,Percent,12.0,5.7%,0.0%-13.6%,6.239895820617676,11.0,0.035106402263045317,0.0,0.0,1.901388168334961e-05,0.011686095967888832,0.5615146160125732,Eliminated (Place 11)
Harry Hamlin,3,2,Percent,21.0,9.1%,0.4%-98.3%,9.134028434753418,8.0,0.04343844749964774,8.904798596631736e-05,0.0,0.0005933046340942383,0.005223351996392012,0.6517458558082581,Safe
Vivica A. Fox,3,2,Percent,24.0,10.4%,0.0%-97.8%,10.471924781799316,3.0,0.04343844749964774,8.904798596631736e-05,0.0,0.0005933046340942383,0.005223351996392012,0.6517458558082581,Safe
Monique Coleman,3,2,Percent,26.0,11.3%,0.0%-97.8%,11.320362091064453,2.0,0.04343844749964774,8.904798596631736e-05,0.0,0.0005933046340942383,0.005223351996392012,0.6517458558082581,Safe
Joey Lawrence,3,2,Percent,29.0,12.6%,0.0%-97.8%,12.601974487304688,1.0,0.04343844749964774,8.904798596631736e-05,0.0,0.0005933046340942383,0.005223351996392012,0.6517458558082581,Safe
Mario Lopez,3,2,Percent,21.0,9.1%,0.4%-98.3%,9.144042015075684,7.0,0.04343844749964774,8.904798596631736e-05,0.0,0.0005933046340942383,0.005223351996392012,0.6517458558082581,Safe
Emmitt Smith,3,2,Percent,24.0,10.4%,0.0%-97.8%,10.44579029083252,4.0,0.04343844749964774,8.904798596631736e-05,0.0,0.0005933046340942383,0.005223351996392012,0.6517458558082581,Safe
Shanna Moakler,3,2,Percent,22.0,9.6%,0.0%-11.6%,9.456615447998047,6.0,0.04343844749964774,8.904798596631736e-05,0.0,0.0005933046340942383,0.005223351996392012,0.6517458558082581,Eliminated (Place 10)
Willa Ford,3,2,Percent,23.0,10.0%,0.0%-97.8%,10.00398063659668,5.0,0.04343844749964774,8.904798596631736e-05,0.0,0.0005933046340942383,0.005223351996392012,0.6517458558082581,Safe
Sara Evans,3,2,Percent,21.0,9.1%,0.0%-97.8%,9.10811996459961,9.0,0.04343844749964774,8.904798596631736e-05,0.0,0.0005933046340942383,0.005223351996392012,0.6517458558082581,Withdrew
Jerry Springer,3,2,Percent,19.0,8.3%,1.3%-99.1%,8.313170433044434,10.0,0.04343844749964774,8.904798596631736e-05,0.0,0.0005933046340942383,0.005223351996392012,0.6517458558082581,Safe
Harry Hamlin,3,3,Percent,22.0,10.6%,0.0%-12.9%,10.571207046508789,5.0,0.04484562180005014,0.00010731398651842028,0.0,0.0006229877471923828,0.00372753432020545,0.6680198907852173,Eliminated (Place 9)
Vivica A. Fox,3,3,Percent,27.0,13.0%,0.0%-98.1%,12.868385314941406,1.0,0.04484562180005014,0.00010731398651842028,0.0,0.0006229877471923828,0.00372753432020545,0.6680198907852173,Safe
Monique Coleman,3,3,Percent,27.0,13.0%,0.0%-98.1%,12.868385314941406,1.0,0.04484562180005014,0.00010731398651842028,0.0,0.0006229877471923828,0.00372753432020545,0.6680198907852173,Safe
Joey Lawrence,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.674409866333008,4.0,0.04484562180005014,0.00010731398651842028,0.0,0.0006229877471923828,0.00372753432020545,0.6680198907852173,Safe
Mario Lopez,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.674409866333008,4.0,0.04484562180005014,0.00010731398651842028,0.0,0.0006229877471923828,0.00372753432020545,0.6680198907852173,Safe
Emmitt Smith,3,3,Percent,19.0,9.2%,1.4%-99.5%,9.407219886779785,7.0,0.04484562180005014,0.00010731398651842028,0.0,0.0006229877471923828,0.00372753432020545,0.6680198907852173,Safe
Willa Ford,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.711018562316895,3.0,0.04484562180005014,0.00010731398651842028,0.0,0.0006229877471923828,0.00372753432020545,0.6680198907852173,Safe
Sara Evans,3,3,Percent,25.0,12.1%,0.0%-98.1%,11.997004508972168,2.0,0.04484562180005014,0.00010731398651842028,0.0,0.0006229877471923828,0.00372753432020545,0.6680198907852173,Withdrew
Jerry Springer,3,3,Percent,21.0,10.1%,0.5%-98.6%,10.22795581817627,6.0,0.04484562180005014,0.00010731398651842028,0.0,0.0006229877471923828,0.00372753432020545,0.6680198907852173,Safe
Vivica A. Fox,3,4,Percent,24.0,12.1%,0.0%-15.0%,11.861063003540039,6.0,0.03644936631899327,6.67738713673316e-05,0.0,0.0007864832878112793,0.007590817287564278,0.5153296589851379,Eliminated (Place 8)
Monique Coleman,3,4,Percent,24.0,12.1%,0.0%-99.0%,12.050875663757324,4.0,0.03644936631899327,6.67738713673316e-05,0.0,0.0007864832878112793,0.007590817287564278,0.5153296589851379,Safe
Joey Lawrence,3,4,Percent,27.0,13.6%,0.0%-99.0%,13.92492961883545,3.0,0.03644936631899327,6.67738713673316e-05,0.0,0.0007864832878112793,0.007590817287564278,0.5153296589851379,Safe
Mario Lopez,3,4,Percent,29.0,14.6%,0.0%-99.0%,15.223217010498047,1.0,0.03644936631899327,6.67738713673316e-05,0.0,0.0007864832878112793,0.007590817287564278,0.5153296589851379,Safe
Emmitt Smith,3,4,Percent,24.0,12.1%,0.0%-99.0%,12.021539688110352,5.0,0.03644936631899327,6.67738713673316e-05,0.0,0.0007864832878112793,0.007590817287564278,0.5153296589851379,Safe
Willa Ford,3,4,Percent,28.0,14.1%,0.0%-99.0%,14.57716178894043,2.0,0.03644936631899327,6.67738713673316e-05,0.0,0.0007864832878112793,0.007590817287564278,0.5153296589851379,Safe
Sara Evans,3,4,Percent,20.0,10.1%,0.0%-99.0%,9.471652030944824,8.0,0.03644936631899327,6.67738713673316e-05,0.0,0.0007864832878112793,0.007590817287564278,0.5153296589851379,Withdrew
Jerry Springer,3,4,Percent,22.0,11.1%,1.0%-100.0%,10.869556427001953,7.0,0.03644936631899327,6.67738713673316e-05,0.0,0.0007864832878112793,0.007590817287564278,0.5153296589851379,Safe
Monique Coleman,3,5,Percent,27.0,14.9%,0.0%-97.2%,17.810562133789062,1.0,0.1693215359002352,0.0007243506843224168,0.0,0.07965195178985596,0.024360291659832,0.3421070873737335,Safe
Joey Lawrence,3,5,Percent,25.0,13.8%,1.1%-98.3%,13.66935920715332,3.0,0.1693215359002352,0.0007243506843224168,0.0,0.07965195178985596,0.024360291659832,0.3421070873737335,Safe
Mario Lopez,3,5,Percent,27.0,14.9%,0.0%-97.2%,17.810562133789062,1.0,0.1693215359002352,0.0007243506843224168,0.0,0.07965195178985596,0.024360291659832,0.3421070873737335,Safe
Emmitt Smith,3,5,Percent,27.0,14.9%,0.0%-97.2%,17.810562133789062,1.0,0.1693215359002352,0.0007243506843224168,0.0,0.07965195178985596,0.024360291659832,0.3421070873737335,Safe
Willa Ford,3,5,Percent,27.0,14.9%,0.0%-16.2%,14.477997779846191,2.0,0.1693215359002352,0.0007243506843224168,0.0,0.07965195178985596,0.024360291659832,0.3421070873737335,Eliminated (Place 7)
Sara Evans,3,5,Percent,24.0,13.3%,0.0%-97.2%,7.991255760192871,5.0,0.1693215359002352,0.0007243506843224168,0.0,0.07965195178985596,0.024360291659832,0.3421070873737335,Withdrew
Jerry Springer,3,5,Percent,24.0,13.3%,1.7%-98.9%,10.429706573486328,4.0,0.1693215359002352,0.0007243506843224168,0.0,0.07965195178985596,0.024360291659832,0.3421070873737335,Safe
Monique Coleman,3,6,Percent,23.0,19.5%,0.0%-100.0%,19.211055755615234,4.0,0.020979224145412447,0.0,0.0,0.00018739700317382812,0.010677605867385864,0.28770527243614197,Safe
Joey Lawrence,3,6,Percent,24.0,20.3%,0.0%-100.0%,20.41542625427246,3.0,0.020979224145412447,0.0,0.0,0.00018739700317382812,0.010677605867385864,0.28770527243614197,Safe
Mario Lopez,3,6,Percent,28.0,23.7%,0.0%-100.0%,24.905574798583984,1.0,0.020979224145412447,0.0,0.0,0.00018739700317382812,0.010677605867385864,0.28770527243614197,Safe
Emmitt Smith,3,6,Percent,25.0,21.2%,0.0%-100.0%,21.613128662109375,2.0,0.020979224145412447,0.0,0.0,0.00018739700317382812,0.010677605867385864,0.28770527243614197,Safe
Jerry Springer,3,6,Percent,18.0,15.3%,0.0%-100.0%,13.854808807373047,5.0,0.020979224145412447,0.0,0.0,0.00018739700317382812,0.010677605867385864,0.28770527243614197,Safe
Monique Coleman,3,7,Percent,27.0,20.0%,0.0%-100.0%,19.881620407104492,4.0,0.02680656164884567,0.0,0.0,0.00046944618225097656,0.00906350463628769,0.41798025369644165,Safe
Joey Lawrence,3,7,Percent,28.5,21.1%,0.0%-100.0%,22.33820343017578,2.0,0.02680656164884567,0.0,0.0,0.00046944618225097656,0.00906350463628769,0.41798025369644165,Safe
Mario Lopez,3,7,Percent,28.0,20.7%,0.0%-100.0%,21.471054077148438,3.0,0.02680656164884567,0.0,0.0,0.00046944618225097656,0.00906350463628769,0.41798025369644165,Safe
Emmitt Smith,3,7,Percent,28.5,21.1%,0.0%-100.0%,22.496417999267578,1.0,0.02680656164884567,0.0,0.0,0.00046944618225097656,0.00906350463628769,0.41798025369644165,Safe
Jerry Springer,3,7,Percent,23.0,17.0%,0.0%-23.0%,13.812710762023926,5.0,0.02680656164884567,0.0,0.0,0.00046944618225097656,0.00906350463628769,0.41798025369644165,Eliminated (Place 5)
Monique Coleman,3,8,Percent,26.5,24.3%,0.0%-25.7%,20.466005325317383,3.0,0.02026551254093647,0.0,0.0,0.00015145540237426758,0.008081210777163506,0.305306613445282,Eliminated (Place 4)
Joey Lawrence,3,8,Percent,27.0,24.8%,0.0%-100.0%,23.597578048706055,2.0,0.02026551254093647,0.0,0.0,0.00015145540237426758,0.008081210777163506,0.305306613445282,Safe
Mario Lopez,3,8,Percent,28.5,26.1%,0.0%-100.0%,32.33884048461914,1.0,0.02026551254093647,0.0,0.0,0.00015145540237426758,0.008081210777163506,0.305306613445282,Safe
Emmitt Smith,3,8,Percent,27.0,24.8%,0.0%-100.0%,23.597578048706055,2.0,0.02026551254093647,0.0,0.0,0.00015145540237426758,0.008081210777163506,0.305306613445282,Safe
Joey Lawrence,3,9,Percent,29.5,33.3%,0.0%-33.3%,33.333335876464844,1.0,1.05,0.0,0.0,1.0,0.0,1.0,Eliminated (Place 3)
Mario Lopez,3,9,Percent,29.5,33.3%,0.0%-100.0%,33.333335876464844,1.0,1.05,0.0,0.0,1.0,0.0,1.0,Safe
Emmitt Smith,3,9,Percent,29.5,33.3%,0.0%-100.0%,33.333335876464844,1.0,1.05,0.0,0.0,1.0,0.0,1.0,Safe
Mario Lopez,3,10,Percent,29.666600000000003,50.0%,0.0%-50.0%,50.0,1.0,1.05,0.0,0.0,1.0,0.0,1.0,Eliminated (Place 2)
Emmitt Smith,3,10,Percent,29.666600000000003,50.0%,50.0%-100.0%,50.0,1.0,1.05,0.0,0.0,1.0,0.0,1.0,Safe
John Ratzenberger,4,1,Percent,17.0,8.3%,0.0%-100.0%,8.243284225463867,7.0,0.035072483494877814,0.0,0.0,8.165836334228516e-06,0.011678872630000114,0.5611398816108704,Safe
Ian Ziering,4,1,Percent,21.0,10.2%,0.0%-100.0%,10.208780288696289,3.0,0.035072483494877814,0.0,0.0,8.165836334228516e-06,0.011678872630000114,0.5611398816108704,Safe
Clyde Drexler,4,1,Percent,16.0,7.8%,0.0%-100.0%,7.756732940673828,8.0,0.035072483494877814,0.0,0.0,8.165836334228516e-06,0.011678872630000114,0.5611398816108704,Safe
Laila Ali,4,1,Percent,23.0,11.2%,0.0%-100.0%,11.172136306762695,2.0,0.035072483494877814,0.0,0.0,8.165836334228516e-06,0.011678872630000114,0.5611398816108704,Safe
Apolo Anton Ohno,4,1,Percent,21.0,10.2%,0.0%-100.0%,10.192832946777344,4.0,0.035072483494877814,0.0,0.0,8.165836334228516e-06,0.011678872630000114,0.5611398816108704,Safe
Shandi Finnessey,4,1,Percent,19.0,9.2%,0.0%-100.0%,9.224910736083984,5.0,0.035072483494877814,0.0,0.0,8.165836334228516e-06,0.011678872630000114,0.5611398816108704,Safe
Paulina Porizkova,4,1,Percent,19.0,9.2%,0.0%-100.0%,9.224910736083984,5.0,0.035072483494877814,0.0,0.0,8.165836334228516e-06,0.011678872630000114,0.5611398816108704,Safe
Heather Mills,4,1,Percent,18.0,8.7%,0.0%-100.0%,8.729991912841797,6.0,0.035072483494877814,0.0,0.0,8.165836334228516e-06,0.011678872630000114,0.5611398816108704,Safe
Billy Ray Cyrus,4,1,Percent,13.0,6.3%,0.0%-100.0%,6.312971591949463,10.0,0.035072483494877814,0.0,0.0,8.165836334228516e-06,0.011678872630000114,0.5611398816108704,Safe
Joey Fatone,4,1,Percent,24.0,11.7%,0.0%-100.0%,11.663224220275879,1.0,0.035072483494877814,0.0,0.0,8.165836334228516e-06,0.011678872630000114,0.5611398816108704,Safe
Leeza Gibbons,4,1,Percent,15.0,7.3%,0.0%-100.0%,7.270216941833496,9.0,0.035072483494877814,0.0,0.0,8.165836334228516e-06,0.011678872630000114,0.5611398816108704,Safe
John Ratzenberger,4,2,Percent,21.0,8.6%,0.0%-98.4%,8.547802925109863,6.0,0.04233402672689408,6.468735955422744e-05,0.0,0.0004526972770690918,0.005969559773802757,0.6624920964241028,Safe
Ian Ziering,4,2,Percent,22.0,9.0%,0.0%-98.4%,8.979595184326172,5.0,0.04233402672689408,6.468735955422744e-05,0.0,0.0004526972770690918,0.005969559773802757,0.6624920964241028,Safe
Clyde Drexler,4,2,Percent,18.0,7.3%,1.2%-99.6%,7.234616756439209,11.0,0.04233402672689408,6.468735955422744e-05,0.0,0.0004526972770690918,0.005969559773802757,0.6624920964241028,Safe
Laila Ali,4,2,Percent,27.0,11.0%,0.0%-98.4%,11.203900337219238,1.0,0.04233402672689408,6.468735955422744e-05,0.0,0.0004526972770690918,0.005969559773802757,0.6624920964241028,Safe
Apolo Anton Ohno,4,2,Percent,26.0,10.6%,0.0%-98.4%,10.758875846862793,2.0,0.04233402672689408,6.468735955422744e-05,0.0,0.0004526972770690918,0.005969559773802757,0.6624920964241028,Safe
Shandi Finnessey,4,2,Percent,20.0,8.2%,0.4%-98.8%,8.082355499267578,10.0,0.04233402672689408,6.468735955422744e-05,0.0,0.0004526972770690918,0.005969559773802757,0.6624920964241028,Safe
Paulina Porizkova,4,2,Percent,21.0,8.6%,0.0%-9.6%,8.436552047729492,9.0,0.04233402672689408,6.468735955422744e-05,0.0,0.0004526972770690918,0.005969559773802757,0.6624920964241028,Eliminated (Place 11)
Heather Mills,4,2,Percent,24.0,9.8%,0.0%-98.4%,9.837109565734863,4.0,0.04233402672689408,6.468735955422744e-05,0.0,0.0004526972770690918,0.005969559773802757,0.6624920964241028,Safe
Billy Ray Cyrus,4,2,Percent,21.0,8.6%,0.0%-98.4%,8.523124694824219,7.0,0.04233402672689408,6.468735955422744e-05,0.0,0.0004526972770690918,0.005969559773802757,0.6624920964241028,Safe
Joey Fatone,4,2,Percent,24.0,9.8%,0.0%-98.4%,9.895438194274902,3.0,0.04233402672689408,6.468735955422744e-05,0.0,0.0004526972770690918,0.005969559773802757,0.6624920964241028,Safe
Leeza Gibbons,4,2,Percent,21.0,8.6%,0.0%-98.4%,8.500628471374512,8.0,0.04233402672689408,6.468735955422744e-05,0.0,0.0004526972770690918,0.005969559773802757,0.6624920964241028,Safe
John Ratzenberger,4,3,Percent,20.0,9.2%,0.5%-97.7%,9.535164833068848,7.0,0.05381491263397038,0.00014454367919825017,0.0,0.0013173818588256836,0.0015327355358749628,0.8002879023551941,Safe
Ian Ziering,4,3,Percent,24.0,11.0%,0.0%-97.2%,10.594948768615723,1.0,0.05381491263397038,0.00014454367919825017,0.0,0.0013173818588256836,0.0015327355358749628,0.8002879023551941,Safe
Clyde Drexler,4,3,Percent,16.0,7.3%,2.3%-99.5%,8.503044128417969,8.0,0.05381491263397038,0.00014454367919825017,0.0,0.0013173818588256836,0.0015327355358749628,0.8002879023551941,Safe
Laila Ali,4,3,Percent,21.0,9.6%,0.0%-97.2%,9.822021484375,5.0,0.05381491263397038,0.00014454367919825017,0.0,0.0013173818588256836,0.0015327355358749628,0.8002879023551941,Safe
Apolo Anton Ohno,4,3,Percent,23.0,10.6%,0.0%-97.2%,10.355731964111328,4.0,0.05381491263397038,0.00014454367919825017,0.0,0.0013173818588256836,0.0015327355358749628,0.8002879023551941,Safe
Shandi Finnessey,4,3,Percent,21.0,9.6%,0.0%-10.4%,9.752357482910156,6.0,0.05381491263397038,0.00014454367919825017,0.0,0.0013173818588256836,0.0015327355358749628,0.8002879023551941,Eliminated (Place 10)
Heather Mills,4,3,Percent,24.0,11.0%,0.0%-97.2%,10.571913719177246,2.0,0.05381491263397038,0.00014454367919825017,0.0,0.0013173818588256836,0.0015327355358749628,0.8002879023551941,Safe
Billy Ray Cyrus,4,3,Percent,21.0,9.6%,0.0%-97.2%,9.822021484375,5.0,0.05381491263397038,0.00014454367919825017,0.0,0.0013173818588256836,0.0015327355358749628,0.8002879023551941,Safe
Joey Fatone,4,3,Percent,24.0,11.0%,0.0%-97.2%,10.52139663696289,3.0,0.05381491263397038,0.00014454367919825017,0.0,0.0013173818588256836,0.0015327355358749628,0.8002879023551941,Safe
Leeza Gibbons,4,3,Percent,24.0,11.0%,0.0%-97.2%,10.52139663696289,3.0,0.05381491263397038,0.00014454367919825017,0.0,0.0013173818588256836,0.0015327355358749628,0.8002879023551941,Safe
John Ratzenberger,4,4,Percent,16.0,8.4%,0.0%-99.5%,8.863914489746094,7.0,0.03277972509677056,9.626278369978536e-06,0.0,0.00031566619873046875,0.011422736570239067,0.4968062937259674,Safe
Ian Ziering,4,4,Percent,24.0,12.6%,0.0%-99.5%,12.40959358215332,3.0,0.03277972509677056,9.626278369978536e-06,0.0,0.00031566619873046875,0.011422736570239067,0.4968062937259674,Safe
Clyde Drexler,4,4,Percent,15.0,7.9%,0.5%-100.0%,8.427183151245117,9.0,0.03277972509677056,9.626278369978536e-06,0.0,0.00031566619873046875,0.011422736570239067,0.4968062937259674,Safe
Laila Ali,4,4,Percent,21.0,11.1%,0.0%-99.5%,11.116645812988281,5.0,0.03277972509677056,9.626278369978536e-06,0.0,0.00031566619873046875,0.011422736570239067,0.4968062937259674,Safe
Apolo Anton Ohno,4,4,Percent,26.0,13.7%,0.0%-99.5%,13.317388534545898,2.0,0.03277972509677056,9.626278369978536e-06,0.0,0.00031566619873046875,0.011422736570239067,0.4968062937259674,Safe
Heather Mills,4,4,Percent,23.0,12.1%,0.0%-99.5%,11.990914344787598,4.0,0.03277972509677056,9.626278369978536e-06,0.0,0.00031566619873046875,0.011422736570239067,0.4968062937259674,Safe
Billy Ray Cyrus,4,4,Percent,21.0,11.1%,0.0%-99.5%,10.974786758422852,6.0,0.03277972509677056,9.626278369978536e-06,0.0,0.00031566619873046875,0.011422736570239067,0.4968062937259674,Safe
Joey Fatone,4,4,Percent,28.0,14.7%,0.0%-99.5%,14.121149063110352,1.0,0.03277972509677056,9.626278369978536e-06,0.0,0.00031566619873046875,0.011422736570239067,0.4968062937259674,Safe
Leeza Gibbons,4,4,Percent,16.0,8.4%,0.0%-13.8%,8.778420448303223,8.0,0.03277972509677056,9.626278369978536e-06,0.0,0.00031566619873046875,0.011422736570239067,0.4968062937259674,Eliminated (Place 9)
John Ratzenberger,4,5,Percent,18.0,10.2%,0.0%-100.0%,10.803682327270508,6.0,0.028862809389829637,0.0,0.0,1.5854835510253906e-05,0.012510303407907486,0.4268154501914978,Safe
