CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status,Percent_Predict,Rank_predict
Lance Bass,7,10,Percent,27.5,32.4%,0.0%-51.5%,29.14,2.0,0.0730173826217651,0.0,0.0,-1.1920928955078125e-07,0.0072385966777801,0.343371719121933,Eliminated (Place 3),29.14,2.0
Brooke Burke,7,10,Percent,30.0,35.3%,31.4%-100.0%,41.73,1.0,0.0730173826217651,0.0,0.0,-1.1920928955078125e-07,0.0072385966777801,0.343371719121933,Safe,41.73,1.0
Gilles Marini,8,1,Percent,24.0,9.9%,0.0%-100.0%,11.89,1.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,11.89,1.0
Denise Richards,8,1,Percent,18.0,7.4%,0.0%-100.0%,7.1,8.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,7.1,8.0
David Alan Grier,8,1,Percent,19.0,7.8%,0.0%-100.0%,7.97,6.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,7.97,6.0
Lawrence Taylor,8,1,Percent,16.0,6.6%,0.0%-100.0%,5.49,11.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,5.49,11.0
Ty Murray,8,1,Percent,14.0,5.8%,0.0%-100.0%,4.1,12.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,4.1,12.0
Shawn Johnson,8,1,Percent,23.0,9.5%,0.0%-100.0%,11.08,2.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,11.08,2.0
Steve Wozniak,8,1,Percent,13.0,5.3%,0.0%-100.0%,3.35,13.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,3.35,13.0
Belinda Carlisle,8,1,Percent,17.0,7.0%,0.0%-100.0%,6.35,9.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,6.35,9.0
Chuck Wicks,8,1,Percent,20.0,8.2%,0.0%-100.0%,8.74,5.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,8.74,5.0
Lil' Kim,8,1,Percent,21.0,8.6%,0.0%-100.0%,9.51,4.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,9.51,4.0
Steve-O,8,1,Percent,17.0,7.0%,0.0%-100.0%,6.24,10.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,6.24,10.0
Holly Madison,8,1,Percent,18.0,7.4%,0.0%-100.0%,7.22,7.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,7.22,7.0
Melissa Rycroft,8,1,Percent,23.0,9.5%,0.0%-100.0%,10.96,3.0,0.1131642192602157,0.0,0.0,0.0003952383995056,0.0462711900472641,0.4250313341617584,Safe,10.96,3.0
Gilles Marini,8,2,Percent,27.0,10.2%,0.0%-97.7%,12.16,1.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,12.16,1.0
Denise Richards,8,2,Percent,21.0,7.9%,0.0%-97.7%,8.22,5.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,8.22,5.0
David Alan Grier,8,2,Percent,17.0,6.4%,0.4%-98.1%,5.41,10.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,5.41,10.0
Lawrence Taylor,8,2,Percent,20.0,7.5%,0.0%-97.7%,7.5,6.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,7.5,6.0
Ty Murray,8,2,Percent,20.0,7.5%,0.0%-97.7%,7.5,6.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,7.5,6.0
Shawn Johnson,8,2,Percent,24.0,9.1%,0.0%-97.7%,10.16,3.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,10.16,3.0
Steve Wozniak,8,2,Percent,17.0,6.4%,0.4%-98.1%,5.31,11.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,5.31,11.0
Belinda Carlisle,8,2,Percent,18.0,6.8%,0.0%-8.6%,5.62,9.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Eliminated (Place 13),5.62,9.0
Chuck Wicks,8,2,Percent,20.0,7.5%,0.0%-97.7%,7.33,7.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,7.33,7.0
Lil' Kim,8,2,Percent,23.0,8.7%,0.0%-97.7%,9.47,4.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,9.47,4.0
Steve-O,8,2,Percent,14.0,5.3%,1.5%-99.2%,3.76,12.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,3.76,12.0
Holly Madison,8,2,Percent,18.0,6.8%,0.0%-97.7%,6.12,8.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,6.12,8.0
Melissa Rycroft,8,2,Percent,26.0,9.8%,0.0%-97.7%,11.45,2.0,0.1242541879648342,0.0001014338995446,0.0,0.0025686621665954,0.0397764518857002,0.4485247135162353,Safe,11.45,2.0
Gilles Marini,8,3,Percent,27.0,10.6%,0.0%-97.2%,11.31,1.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Safe,11.31,1.0
Denise Richards,8,3,Percent,16.0,6.3%,0.0%-10.4%,5.53,10.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Eliminated (Place 12),5.53,10.0
David Alan Grier,8,3,Percent,24.0,9.4%,0.0%-97.2%,9.58,5.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Safe,9.58,5.0
Lawrence Taylor,8,3,Percent,20.0,7.9%,0.0%-97.2%,7.68,8.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Safe,7.68,8.0
Ty Murray,8,3,Percent,23.0,9.1%,0.0%-97.2%,8.96,7.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Safe,8.96,7.0
Shawn Johnson,8,3,Percent,27.0,10.6%,0.0%-97.2%,11.12,2.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Safe,11.12,2.0
Steve Wozniak,8,3,Percent,10.0,3.9%,2.4%-99.6%,3.68,12.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Safe,3.68,12.0
Chuck Wicks,8,3,Percent,23.0,9.1%,0.0%-97.2%,9.09,6.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Safe,9.09,6.0
Lil' Kim,8,3,Percent,25.0,9.8%,0.0%-97.2%,10.09,4.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Safe,10.09,4.0
Steve-O,8,3,Percent,15.0,5.9%,0.4%-97.6%,5.48,11.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Safe,5.48,11.0
Holly Madison,8,3,Percent,17.0,6.7%,0.0%-97.2%,6.44,9.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Safe,6.44,9.0
Melissa Rycroft,8,3,Percent,27.0,10.6%,0.0%-97.2%,11.04,3.0,0.1290382299106568,0.0001633642095839,0.0,0.0040492415428161,0.0370121523737907,0.4485628008842468,Safe,11.04,3.0
Gilles Marini,8,4,Percent,30.0,12.4%,0.0%-99.6%,13.45,1.0,0.1023264477204065,4.464111043489538e-06,0.0,0.0004529953002929,0.0445804484188556,0.3738402724266052,Safe,13.45,1.0
David Alan Grier,8,4,Percent,22.0,9.1%,0.0%-99.6%,9.08,5.0,0.1023264477204065,4.464111043489538e-06,0.0,0.0004529953002929,0.0445804484188556,0.3738402724266052,Safe,9.08,5.0
Lawrence Taylor,8,4,Percent,19.0,7.9%,0.0%-99.6%,7.45,7.0,0.1023264477204065,4.464111043489538e-06,0.0,0.0004529953002929,0.0445804484188556,0.3738402724266052,Safe,7.45,7.0
Ty Murray,8,4,Percent,25.0,10.3%,0.0%-99.6%,10.62,4.0,0.1023264477204065,4.464111043489538e-06,0.0,0.0004529953002929,0.0445804484188556,0.3738402724266052,Safe,10.62,4.0
Shawn Johnson,8,4,Percent,25.0,10.3%,0.0%-99.6%,10.62,4.0,0.1023264477204065,4.464111043489538e-06,0.0,0.0004529953002929,0.0445804484188556,0.3738402724266052,Safe,10.62,4.0
Steve Wozniak,8,4,Percent,12.0,5.0%,0.0%-14.4%,3.94,10.0,0.1023264477204065,4.464111043489538e-06,0.0,0.0004529953002929,0.0445804484188556,0.3738402724266052,Eliminated (Place 10),3.94,10.0
Chuck Wicks,8,4,Percent,22.0,9.1%,0.0%-99.6%,8.89,6.0,0.1023264477204065,4.464111043489538e-06,0.0,0.0004529953002929,0.0445804484188556,0.3738402724266052,Safe,8.89,6.0
Lil' Kim,8,4,Percent,27.0,11.2%,0.0%-99.6%,11.75,3.0,0.1023264477204065,4.464111043489538e-06,0.0,0.0004529953002929,0.0445804484188556,0.3738402724266052,Safe,11.75,3.0
Steve-O,8,4,Percent,15.0,6.2%,0.4%-100.0%,5.45,9.0,0.1023264477204065,4.464111043489538e-06,0.0,0.0004529953002929,0.0445804484188556,0.3738402724266052,Safe,5.45,9.0
Holly Madison,8,4,Percent,16.0,6.6%,0.0%-12.9%,5.93,8.0,0.1023264477204065,4.464111043489538e-06,0.0,0.0004529953002929,0.0445804484188556,0.3738402724266052,Eliminated (Place 11),5.93,8.0
Melissa Rycroft,8,4,Percent,29.0,12.0%,0.0%-99.6%,12.81,2.0,0.1023264477204065,4.464111043489538e-06,0.0,0.0004529953002929,0.0445804484188556,0.3738402724266052,Safe,12.81,2.0
Gilles Marini,8,5,Percent,29.0,13.8%,0.0%-96.7%,16.71,1.0,0.1172092937864363,0.0002439638192299,0.0,0.0096051692962646,0.0297577921301126,0.3511617183685303,Safe,16.71,1.0
David Alan Grier,8,5,Percent,22.0,10.5%,0.0%-11.7%,8.68,7.0,0.1172092937864363,0.0002439638192299,0.0,0.0096051692962646,0.0297577921301126,0.3511617183685303,Eliminated (Place 9),8.68,7.0
Lawrence Taylor,8,5,Percent,20.0,9.5%,1.0%-97.6%,7.97,8.0,0.1172092937864363,0.0002439638192299,0.0,0.0096051692962646,0.0297577921301126,0.3511617183685303,Safe,7.97,8.0
Ty Murray,8,5,Percent,21.0,10.0%,0.5%-97.1%,9.03,6.0,0.1172092937864363,0.0002439638192299,0.0,0.0096051692962646,0.0297577921301126,0.3511617183685303,Safe,9.03,6.0
Shawn Johnson,8,5,Percent,26.0,12.4%,0.0%-96.7%,13.69,3.0,0.1172092937864363,0.0002439638192299,0.0,0.0096051692962646,0.0297577921301126,0.3511617183685303,Safe,13.69,3.0
Chuck Wicks,8,5,Percent,23.0,11.0%,0.0%-96.7%,10.81,5.0,0.1172092937864363,0.0002439638192299,0.0,0.0096051692962646,0.0297577921301126,0.3511617183685303,Safe,10.81,5.0
Lil' Kim,8,5,Percent,26.0,12.4%,0.0%-96.7%,13.96,2.0,0.1172092937864363,0.0002439638192299,0.0,0.0096051692962646,0.0297577921301126,0.3511617183685303,Safe,13.96,2.0
Steve-O,8,5,Percent,18.0,8.6%,1.9%-98.6%,6.5,9.0,0.1172092937864363,0.0002439638192299,0.0,0.0096051692962646,0.0297577921301126,0.3511617183685303,Safe,6.5,9.0
Melissa Rycroft,8,5,Percent,25.0,11.9%,0.0%-96.7%,12.64,4.0,0.1172092937864363,0.0002439638192299,0.0,0.0096051692962646,0.0297577921301126,0.3511617183685303,Safe,12.64,4.0
Gilles Marini,8,6,Percent,26.0,14.0%,0.0%-100.0%,15.14,3.0,0.0843317881226539,0.0,0.0,0.0018819570541381,0.0398094877600669,0.2928206920623779,Safe,15.14,3.0
Lawrence Taylor,8,6,Percent,22.0,11.8%,0.0%-100.0%,11.01,6.0,0.0843317881226539,0.0,0.0,0.0018819570541381,0.0398094877600669,0.2928206920623779,Safe,11.01,6.0
Ty Murray,8,6,Percent,18.0,9.7%,0.0%-100.0%,7.6,7.0,0.0843317881226539,0.0,0.0,0.0018819570541381,0.0398094877600669,0.2928206920623779,Safe,7.6,7.0
Shawn Johnson,8,6,Percent,26.0,14.0%,0.0%-100.0%,14.72,4.0,0.0843317881226539,0.0,0.0,0.0018819570541381,0.0398094877600669,0.2928206920623779,Safe,14.72,4.0
Chuck Wicks,8,6,Percent,23.0,12.4%,0.0%-100.0%,12.16,5.0,0.0843317881226539,0.0,0.0,0.0018819570541381,0.0398094877600669,0.2928206920623779,Safe,12.16,5.0
Lil' Kim,8,6,Percent,28.0,15.1%,0.0%-100.0%,17.43,1.0,0.0843317881226539,0.0,0.0,0.0018819570541381,0.0398094877600669,0.2928206920623779,Safe,17.43,1.0
Steve-O,8,6,Percent,16.0,8.6%,0.0%-16.4%,5.66,8.0,0.0843317881226539,0.0,0.0,0.0018819570541381,0.0398094877600669,0.2928206920623779,Eliminated (Place 8),5.66,8.0
Melissa Rycroft,8,6,Percent,27.0,14.5%,0.0%-100.0%,16.27,2.0,0.0843317881226539,0.0,0.0,0.0018819570541381,0.0398094877600669,0.2928206920623779,Safe,16.27,2.0
Gilles Marini,8,7,Percent,27.0,14.8%,0.0%-100.0%,15.61,4.0,0.0778301127254963,0.0,0.0,0.0025420784950256,0.0377709679305553,0.2631272673606872,Safe,15.61,4.0
Lawrence Taylor,8,7,Percent,21.0,11.5%,0.0%-17.0%,5.93,7.0,0.0778301127254963,0.0,0.0,0.0025420784950256,0.0377709679305553,0.2631272673606872,Eliminated (Place 7),5.93,7.0
Ty Murray,8,7,Percent,24.0,13.2%,0.0%-100.0%,10.66,6.0,0.0778301127254963,0.0,0.0,0.0025420784950256,0.0377709679305553,0.2631272673606872,Safe,10.66,6.0
Shawn Johnson,8,7,Percent,28.0,15.4%,0.0%-100.0%,17.95,2.0,0.0778301127254963,0.0,0.0,0.0025420784950256,0.0377709679305553,0.2631272673606872,Safe,17.95,2.0
Chuck Wicks,8,7,Percent,27.0,14.8%,0.0%-100.0%,16.18,3.0,0.0778301127254963,0.0,0.0,0.0025420784950256,0.0377709679305553,0.2631272673606872,Safe,16.18,3.0
Lil' Kim,8,7,Percent,26.0,14.3%,0.0%-100.0%,13.84,5.0,0.0778301127254963,0.0,0.0,0.0025420784950256,0.0377709679305553,0.2631272673606872,Safe,13.84,5.0
Melissa Rycroft,8,7,Percent,29.0,15.9%,0.0%-100.0%,19.83,1.0,0.0778301127254963,0.0,0.0,0.0025420784950256,0.0377709679305553,0.2631272673606872,Safe,19.83,1.0
Gilles Marini,8,8,Percent,27.5,17.6%,0.0%-98.4%,19.52,2.0,0.1244568044319748,0.000425161095336,0.0,0.0141689181327819,0.0106819598004221,0.3493291139602661,Safe,19.52,2.0
Ty Murray,8,8,Percent,26.0,16.7%,0.0%-98.4%,16.68,3.0,0.1244568044319748,0.000425161095336,0.0,0.0141689181327819,0.0106819598004221,0.3493291139602661,Safe,16.68,3.0
Shawn Johnson,8,8,Percent,26.0,16.7%,0.0%-98.4%,16.68,3.0,0.1244568044319748,0.000425161095336,0.0,0.0141689181327819,0.0106819598004221,0.3493291139602661,Safe,16.68,3.0
Chuck Wicks,8,8,Percent,25.5,16.3%,0.0%-17.0%,14.73,4.0,0.1244568044319748,0.000425161095336,0.0,0.0141689181327819,0.0106819598004221,0.3493291139602661,Eliminated (Place 6),14.73,4.0
Lil' Kim,8,8,Percent,28.0,17.9%,0.0%-98.4%,20.68,1.0,0.1244568044319748,0.000425161095336,0.0,0.0141689181327819,0.0106819598004221,0.3493291139602661,Safe,20.68,1.0
Melissa Rycroft,8,8,Percent,23.0,14.7%,1.6%-100.0%,11.72,5.0,0.1244568044319748,0.000425161095336,0.0,0.0141689181327819,0.0106819598004221,0.3493291139602661,Safe,11.72,5.0
Gilles Marini,8,9,Percent,28.0,21.0%,0.0%-97.8%,21.42,3.0,0.1453285656869411,0.0005841145175509,0.0,0.015029489994049,0.0052815182134509,0.4020050168037414,Safe,21.42,3.0
Ty Murray,8,9,Percent,23.0,17.2%,2.2%-100.0%,15.78,5.0,0.1453285656869411,0.0005841145175509,0.0,0.015029489994049,0.0052815182134509,0.4020050168037414,Safe,15.78,5.0
Shawn Johnson,8,9,Percent,28.0,21.0%,0.0%-97.8%,21.78,2.0,0.1453285656869411,0.0005841145175509,0.0,0.015029489994049,0.0052815182134509,0.4020050168037414,Safe,21.78,2.0
Lil' Kim,8,9,Percent,26.0,19.5%,0.0%-20.5%,18.36,4.0,0.1453285656869411,0.0005841145175509,0.0,0.015029489994049,0.0052815182134509,0.4020050168037414,Eliminated (Place 5),18.36,4.0
Melissa Rycroft,8,9,Percent,28.5,21.3%,0.0%-97.8%,22.67,1.0,0.1453285656869411,0.0005841145175509,0.0,0.015029489994049,0.0052815182134509,0.4020050168037414,Safe,22.67,1.0
Gilles Marini,8,10,Percent,30.0,27.4%,0.0%-100.0%,33.63,1.0,0.0374383240938186,0.0,0.0,0.0027762055397033,0.0244217291474342,0.1000454053282737,Safe,33.63,1.0
Ty Murray,8,10,Percent,24.0,21.9%,0.0%-28.1%,14.39,4.0,0.0374383240938186,0.0,0.0,0.0027762055397033,0.0244217291474342,0.1000454053282737,Eliminated (Place 4),14.39,4.0
Shawn Johnson,8,10,Percent,28.0,25.6%,0.0%-100.0%,27.46,2.0,0.0374383240938186,0.0,0.0,0.0027762055397033,0.0244217291474342,0.1000454053282737,Safe,27.46,2.0
Melissa Rycroft,8,10,Percent,27.5,25.1%,0.0%-100.0%,24.52,3.0,0.0374383240938186,0.0,0.0,0.0027762055397033,0.0244217291474342,0.1000454053282737,Safe,24.52,3.0
Gilles Marini,8,11,Percent,29.0,33.1%,0.0%-50.6%,31.44,2.0,0.0164294116199016,0.0,0.0,0.0004347562789916,0.0153123810887336,0.0340361334383487,Eliminated (Place 2),31.44,2.0
Shawn Johnson,8,11,Percent,30.0,34.3%,32.4%-100.0%,44.43,1.0,0.0164294116199016,0.0,0.0,0.0004347562789916,0.0153123810887336,0.0340361334383487,Safe,44.43,1.0
Melissa Rycroft,8,11,Percent,28.5,32.6%,0.0%-50.9%,24.14,3.0,0.0164294116199016,0.0,0.0,0.0004347562789916,0.0153123810887336,0.0340361334383487,Eliminated (Place 3),24.14,3.0
Ashley Hamiliton,9,1,Percent,18.9999,4.7%,0.0%-8.9%,3.6,14.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Eliminated (Place 16),3.6,14.0
Debi Mazar,9,1,Percent,22.0,5.4%,0.0%-100.0%,4.92,10.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,4.92,10.0
Melissa Joan Hart,9,1,Percent,24.0,5.9%,0.0%-100.0%,5.72,8.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,5.72,8.0
Mark Dacascos,9,1,Percent,28.9998,7.1%,0.0%-100.0%,7.64,6.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,7.64,6.0
Chuck Liddell,9,1,Percent,22.0,5.4%,0.0%-100.0%,4.98,9.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,4.98,9.0
Natalie Coughlin,9,1,Percent,26.9998,6.7%,0.0%-100.0%,6.85,7.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,6.85,7.0
Louie Vito,9,1,Percent,26.9998,6.7%,0.0%-100.0%,6.85,7.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,6.85,7.0
Michael Irvin,9,1,Percent,19.0,4.7%,0.0%-100.0%,3.73,12.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,3.73,12.0
Joanna Krupa,9,1,Percent,33.9999,8.4%,0.0%-100.0%,9.73,1.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,9.73,1.0
Kathy Ireland,9,1,Percent,19.9999,4.9%,0.0%-100.0%,4.15,11.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,4.15,11.0
Tom DeLay,9,1,Percent,19.9999,4.9%,0.0%-100.0%,4.15,11.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Withdrew,4.15,11.0
Macy Gray,9,1,Percent,18.9999,4.7%,0.0%-8.9%,3.66,13.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Eliminated (Place 15),3.66,13.0
Aaron Carter,9,1,Percent,31.9999,7.9%,0.0%-100.0%,8.95,2.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,8.95,2.0
Mya,9,1,Percent,30.9999,7.6%,0.0%-100.0%,8.47,4.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,8.47,4.0
Donny Osmond,9,1,Percent,29.9999,7.4%,0.0%-100.0%,8.05,5.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,8.05,5.0
Kelly Osbourne,9,1,Percent,30.9998,7.6%,0.0%-100.0%,8.53,3.0,0.1281059578061104,0.0,0.0,0.0003081560134887,0.0457603260874748,0.5017080307006836,Safe,8.53,3.0
Debi Mazar,9,2,Percent,21.0,7.1%,0.0%-100.0%,7.43,3.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,7.43,3.0
Melissa Joan Hart,9,2,Percent,19.0,6.5%,0.0%-100.0%,5.49,8.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,5.49,8.0
Mark Dacascos,9,2,Percent,21.0,7.1%,0.0%-100.0%,7.23,5.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,7.23,5.0
Chuck Liddell,9,2,Percent,19.0,6.5%,0.0%-100.0%,5.59,7.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,5.59,7.0
Natalie Coughlin,9,2,Percent,21.0,7.1%,0.0%-100.0%,7.33,4.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,7.33,4.0
Louie Vito,9,2,Percent,19.0,6.5%,0.0%-100.0%,5.4,9.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,5.4,9.0
Michael Irvin,9,2,Percent,20.0,6.8%,0.0%-100.0%,6.41,6.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,6.41,6.0
Joanna Krupa,9,2,Percent,20.0,6.8%,0.0%-100.0%,6.41,6.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,6.41,6.0
Kathy Ireland,9,2,Percent,18.0,6.1%,0.0%-8.8%,4.49,11.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Eliminated (Place 14),4.49,11.0
Tom DeLay,9,2,Percent,18.0,6.1%,0.0%-100.0%,4.49,11.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Withdrew,4.49,11.0
Aaron Carter,9,2,Percent,27.0,9.2%,0.0%-100.0%,12.03,1.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,12.03,1.0
Mya,9,2,Percent,27.0,9.2%,0.0%-100.0%,12.03,1.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,12.03,1.0
Donny Osmond,9,2,Percent,25.0,8.5%,0.0%-100.0%,10.38,2.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,10.38,2.0
Kelly Osbourne,9,2,Percent,19.0,6.5%,0.0%-100.0%,5.3,10.0,0.1275152876973152,0.0,0.0,0.0016120076179504,0.0437348112463951,0.4983119666576385,Safe,5.3,10.0
Debi Mazar,9,3,Percent,17.0,6.6%,0.0%-9.6%,5.35,11.0,0.1192602431518025,5.930391853326e-05,0.0,0.0015917420387268,0.043379683047533,0.4344818890094757,Eliminated (Place 12),5.35,11.0
Melissa Joan Hart,9,3,Percent,19.0,7.4%,0.0%-98.8%,7.06,8.0,0.1192602431518025,5.930391853326e-05,0.0,0.0015917420387268,0.043379683047533,0.4344818890094757,Safe,7.06,8.0
Mark Dacascos,9,3,Percent,18.0,7.0%,0.0%-98.8%,6.39,9.0,0.1192602431518025,5.930391853326e-05,0.0,0.0015917420387268,0.043379683047533,0.4344818890094757,Safe,6.39,9.0
Chuck Liddell,9,3,Percent,17.0,6.6%,0.0%-98.8%,5.72,10.0,0.1192602431518025,5.930391853326e-05,0.0,0.0015917420387268,0.043379683047533,0.4344818890094757,Safe,5.72,10.0
Natalie Coughlin,9,3,Percent,26.0,10.1%,0.0%-98.8%,11.88,2.0,0.1192602431518025,5.930391853326e-05,0.0,0.0015917420387268,0.043379683047533,0.4344818890094757,Safe,11.88,2.0
Louie Vito,9,3,Percent,20.0,7.8%,0.0%-98.8%,7.74,7.0,0.1192602431518025,5.930391853326e-05,0.0,0.0015917420387268,0.043379683047533,0.4344818890094757,Safe,7.74,7.0
Michael Irvin,9,3,Percent,14.0,5.4%,1.2%-100.0%,3.96,13.0,0.1192602431518025,5.930391853326e-05,0.0,0.0015917420387268,0.043379683047533,0.4344818890094757,Safe,3.96,13.0
Joanna Krupa,9,3,Percent,23.0,8.9%,0.0%-98.8%,9.92,3.0,0.1192602431518025,5.930391853326e-05,0.0,0.0015917420387268,0.043379683047533,0.4344818890094757,Safe,9.92,3.0
Tom DeLay,9,3,Percent,15.0,5.8%,0.0%-98.8%,4.37,12.0,0.1192602431518025,5.930391853326e-05,0.0,0.0015917420387268,0.043379683047533,0.4344818890094757,Withdrew,4.37,12.0
Aaron Carter,9,3,Percent,21.0,8.1%,0.0%-98.8%,8.6,4.0,0.1192602431518025,5.930391853326e-05,0.0,0.0015917420387268,0.043379683047533,0.4344818890094757,Safe,8.6,4.0
Mya,9,3,Percent,27.0,10.5%,0.0%-98.8%,12.58,1.0,0.1192602431518025,5.930391853326e-05,0.0,0.0015917420387268,0.043379683047533,0.4344818890094757,Safe,12.58,1.0
