CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status,Percent_Predict,Rank_predict
Jerry Rice,2,4,Rank,24.0,4,1-7,14.52,4.0,,,,,,,Safe,14.52,4.0
Master P,2,4,Rank,8.0,6,1-7,12.9,4.5,,,,,,,Eliminated (Place 7),12.9,4.5
Drew Lachey,2,4,Rank,28.0,1,1-7,14.52,4.0,,,,,,,Safe,14.52,4.0
Tia Carrere,2,5,Rank,22.0,6,1-6,14.89,4.0,,,,,,,Eliminated (Place 6),14.89,4.0
George Hamilton,2,5,Rank,24.0,4,1-6,17.03,3.5,,,,,,,Safe,17.03,3.5
Lisa Rinna,2,5,Rank,25.0,3,1-6,17.02,3.5,,,,,,,Safe,17.02,3.5
Stacy Keibler,2,5,Rank,30.0,1,1-6,17.02,3.5,,,,,,,Safe,17.02,3.5
Jerry Rice,2,5,Rank,23.0,5,1-6,17.02,3.5,,,,,,,Safe,17.02,3.5
Drew Lachey,2,5,Rank,27.0,2,1-6,17.02,3.5,,,,,,,Safe,17.02,3.5
George Hamilton,2,6,Rank,23.0,3,2-5,16.95,3.5,,,,,,,Eliminated (Place 5),16.95,3.5
Lisa Rinna,2,6,Rank,27.0,2,1-5,19.77,3.0,,,,,,,Safe,19.77,3.0
Stacy Keibler,2,6,Rank,30.0,1,1-5,19.77,3.0,,,,,,,Safe,19.77,3.0
Jerry Rice,2,6,Rank,23.0,3,1-4,23.74,2.5,,,,,,,Safe,23.74,2.5
Drew Lachey,2,6,Rank,30.0,1,1-5,19.77,3.0,,,,,,,Safe,19.77,3.0
Lisa Rinna,2,7,Rank,26.5,2,2-4,16.3,3.5,,,,,,,Eliminated (Place 4),16.3,3.5
Stacy Keibler,2,7,Rank,27.5,1,1-4,22.83,2.5,,,,,,,Safe,22.83,2.5
Jerry Rice,2,7,Rank,20.5,3,1-3,38.04,1.5,,,,,,,Safe,38.04,1.5
Drew Lachey,2,7,Rank,27.5,1,1-4,22.83,2.5,,,,,,,Safe,22.83,2.5
Stacy Keibler,2,8,Rank,28.6665,2,1-3,33.34,2.0,,,,,,,Eliminated (Place 3),33.34,2.0
Jerry Rice,2,8,Rank,26.666600000000003,3,1-3,33.33,2.0,,,,,,,Eliminated (Place 2),33.33,2.0
Drew Lachey,2,8,Rank,28.9998,1,1-3,33.33,2.0,,,,,,,Safe,33.33,2.0
Harry Hamlin,3,1,Percent,17.0,8.0%,0.0%-100.0%,7.3,8.0,0.100669027864933,0.0,0.0,0.0004346370697021,0.0456193014979362,0.3643140494823456,Safe,7.3,8.0
Vivica A. Fox,3,1,Percent,22.0,10.4%,0.0%-100.0%,11.3,3.0,0.100669027864933,0.0,0.0,0.0004346370697021,0.0456193014979362,0.3643140494823456,Safe,11.3,3.0
Monique Coleman,3,1,Percent,19.0,9.0%,0.0%-100.0%,8.9,6.0,0.100669027864933,0.0,0.0,0.0004346370697021,0.0456193014979362,0.3643140494823456,Safe,8.9,6.0
Joey Lawrence,3,1,Percent,21.0,9.9%,0.0%-100.0%,10.3,5.0,0.100669027864933,0.0,0.0,0.0004346370697021,0.0456193014979362,0.3643140494823456,Safe,10.3,5.0
Mario Lopez,3,1,Percent,26.0,12.3%,0.0%-100.0%,14.25,1.0,0.100669027864933,0.0,0.0,0.0004346370697021,0.0456193014979362,0.3643140494823456,Safe,14.25,1.0
Emmitt Smith,3,1,Percent,24.0,11.3%,0.0%-100.0%,12.77,2.0,0.100669027864933,0.0,0.0,0.0004346370697021,0.0456193014979362,0.3643140494823456,Safe,12.77,2.0
Shanna Moakler,3,1,Percent,18.0,8.5%,0.0%-100.0%,8.1,7.0,0.100669027864933,0.0,0.0,0.0004346370697021,0.0456193014979362,0.3643140494823456,Safe,8.1,7.0
Willa Ford,3,1,Percent,22.0,10.4%,0.0%-100.0%,11.1,4.0,0.100669027864933,0.0,0.0,0.0004346370697021,0.0456193014979362,0.3643140494823456,Safe,11.1,4.0
Sara Evans,3,1,Percent,15.0,7.1%,0.0%-100.0%,5.73,10.0,0.100669027864933,0.0,0.0,0.0004346370697021,0.0456193014979362,0.3643140494823456,Withdrew,5.73,10.0
Jerry Springer,3,1,Percent,16.0,7.5%,0.0%-100.0%,6.53,9.0,0.100669027864933,0.0,0.0,0.0004346370697021,0.0456193014979362,0.3643140494823456,Safe,6.53,9.0
Tucker Carlson,3,1,Percent,12.0,5.7%,0.0%-13.6%,3.72,11.0,0.100669027864933,0.0,0.0,0.0004346370697021,0.0456193014979362,0.3643140494823456,Eliminated (Place 11),3.72,11.0
Harry Hamlin,3,2,Percent,21.0,9.1%,0.4%-98.3%,7.81,8.0,0.1173111357260495,0.0001683250447968,0.0,0.0046156048774719,0.0322331897914409,0.3994480669498443,Safe,7.81,8.0
Vivica A. Fox,3,2,Percent,24.0,10.4%,0.0%-97.8%,11.13,4.0,0.1173111357260495,0.0001683250447968,0.0,0.0046156048774719,0.0322331897914409,0.3994480669498443,Safe,11.13,4.0
Monique Coleman,3,2,Percent,26.0,11.3%,0.0%-97.8%,13.4,2.0,0.1173111357260495,0.0001683250447968,0.0,0.0046156048774719,0.0322331897914409,0.3994480669498443,Safe,13.4,2.0
Joey Lawrence,3,2,Percent,29.0,12.6%,0.0%-97.8%,16.55,1.0,0.1173111357260495,0.0001683250447968,0.0,0.0046156048774719,0.0322331897914409,0.3994480669498443,Safe,16.55,1.0
Mario Lopez,3,2,Percent,21.0,9.1%,0.4%-98.3%,7.99,7.0,0.1173111357260495,0.0001683250447968,0.0,0.0046156048774719,0.0322331897914409,0.3994480669498443,Safe,7.99,7.0
